Metric,Amount,Currency,Date,Context 1,Context 2,Context 3,Context 4,Context 5,Context 6,Context 7,Context 8,Context 9,Context 10,Context 11,Context 12,Context 13,Context 14,Context 15,Context 16,Context 17,Context 18,Context 19,Context 20,Context 21,Context 22,Context 23,Context 24,Context 25,Context 26,Context 27,Context 28,Context 29,Context 30,Context 31,Context 32,Context 33,Context 34,Context 35,Context 36,Context 37,Context 38,Context 39,Context 40,Context 41,Context 42,Context 43,Context 44,Context 45,Context 46,Context 47,Context 48,Context 49,Context 50,Context 51
Cash at bank,100083,NZD,2026-05-31,value-83-1,value-83-2,value-83-3,value-83-4,value-83-5,value-83-6,value-83-7,value-83-8,value-83-9,value-83-10,value-83-11,value-83-12,value-83-13,value-83-14,value-83-15,value-83-16,value-83-17,value-83-18,value-83-19,value-83-20,value-83-21,value-83-22,value-83-23,value-83-24,value-83-25,value-83-26,value-83-27,value-83-28,value-83-29,value-83-30,value-83-31,value-83-32,value-83-33,value-83-34,value-83-35,value-83-36,value-83-37,value-83-38,value-83-39,value-83-40,value-83-41,value-83-42,value-83-43,value-83-44,value-83-45,value-83-46,value-83-47,value-83-48,value-83-49,value-83-50,value-83-51
Monthly revenue,100084,NZD,2026-05-31,value-84-1,value-84-2,value-84-3,value-84-4,value-84-5,value-84-6,value-84-7,value-84-8,value-84-9,value-84-10,value-84-11,value-84-12,value-84-13,value-84-14,value-84-15,value-84-16,value-84-17,value-84-18,value-84-19,value-84-20,value-84-21,value-84-22,value-84-23,value-84-24,value-84-25,value-84-26,value-84-27,value-84-28,value-84-29,value-84-30,value-84-31,value-84-32,value-84-33,value-84-34,value-84-35,value-84-36,value-84-37,value-84-38,value-84-39,value-84-40,value-84-41,value-84-42,value-84-43,value-84-44,value-84-45,value-84-46,value-84-47,value-84-48,value-84-49,value-84-50,value-84-51
Cash at bank,100085,NZD,2026-05-31,value-85-1,value-85-2,value-85-3,value-85-4,value-85-5,value-85-6,value-85-7,value-85-8,value-85-9,value-85-10,value-85-11,value-85-12,value-85-13,value-85-14,value-85-15,value-85-16,value-85-17,value-85-18,value-85-19,value-85-20,value-85-21,value-85-22,value-85-23,value-85-24,value-85-25,value-85-26,value-85-27,value-85-28,value-85-29,value-85-30,value-85-31,value-85-32,value-85-33,value-85-34,value-85-35,value-85-36,value-85-37,value-85-38,value-85-39,value-85-40,value-85-41,value-85-42,value-85-43,value-85-44,value-85-45,value-85-46,value-85-47,value-85-48,value-85-49,value-85-50,value-85-51
Monthly revenue,100086,NZD,2026-05-31,value-86-1,value-86-2,value-86-3,value-86-4,value-86-5,value-86-6,value-86-7,value-86-8,value-86-9,value-86-10,value-86-11,value-86-12,value-86-13,value-86-14,value-86-15,value-86-16,value-86-17,value-86-18,value-86-19,value-86-20,value-86-21,value-86-22,value-86-23,value-86-24,value-86-25,value-86-26,value-86-27,value-86-28,value-86-29,value-86-30,value-86-31,value-86-32,value-86-33,value-86-34,value-86-35,value-86-36,value-86-37,value-86-38,value-86-39,value-86-40,value-86-41,value-86-42,value-86-43,value-86-44,value-86-45,value-86-46,value-86-47,value-86-48,value-86-49,value-86-50,value-86-51
Cash at bank,100087,NZD,2026-05-31,value-87-1,value-87-2,value-87-3,value-87-4,value-87-5,value-87-6,value-87-7,value-87-8,value-87-9,value-87-10,value-87-11,value-87-12,value-87-13,value-87-14,value-87-15,value-87-16,value-87-17,value-87-18,value-87-19,value-87-20,value-87-21,value-87-22,value-87-23,value-87-24,value-87-25,value-87-26,value-87-27,value-87-28,value-87-29,value-87-30,value-87-31,value-87-32,value-87-33,value-87-34,value-87-35,value-87-36,value-87-37,value-87-38,value-87-39,value-87-40,value-87-41,value-87-42,value-87-43,value-87-44,value-87-45,value-87-46,value-87-47,value-87-48,value-87-49,value-87-50,value-87-51
Monthly revenue,100088,NZD,2026-05-31,value-88-1,value-88-2,value-88-3,value-88-4,value-88-5,value-88-6,value-88-7,value-88-8,value-88-9,value-88-10,value-88-11,value-88-12,value-88-13,value-88-14,value-88-15,value-88-16,value-88-17,value-88-18,value-88-19,value-88-20,value-88-21,value-88-22,value-88-23,value-88-24,value-88-25,value-88-26,value-88-27,value-88-28,value-88-29,value-88-30,value-88-31,value-88-32,value-88-33,value-88-34,value-88-35,value-88-36,value-88-37,value-88-38,value-88-39,value-88-40,value-88-41,value-88-42,value-88-43,value-88-44,value-88-45,value-88-46,value-88-47,value-88-48,value-88-49,value-88-50,value-88-51
Cash at bank,100089,NZD,2026-05-31,value-89-1,value-89-2,value-89-3,value-89-4,value-89-5,value-89-6,value-89-7,value-89-8,value-89-9,value-89-10,value-89-11,value-89-12,value-89-13,value-89-14,value-89-15,value-89-16,value-89-17,value-89-18,value-89-19,value-89-20,value-89-21,value-89-22,value-89-23,value-89-24,value-89-25,value-89-26,value-89-27,value-89-28,value-89-29,value-89-30,value-89-31,value-89-32,value-89-33,value-89-34,value-89-35,value-89-36,value-89-37,value-89-38,value-89-39,value-89-40,value-89-41,value-89-42,value-89-43,value-89-44,value-89-45,value-89-46,value-89-47,value-89-48,value-89-49,value-89-50,value-89-51
Monthly revenue,100090,NZD,2026-05-31,value-90-1,value-90-2,value-90-3,value-90-4,value-90-5,value-90-6,value-90-7,value-90-8,value-90-9,value-90-10,value-90-11,value-90-12,value-90-13,value-90-14,value-90-15,value-90-16,value-90-17,value-90-18,value-90-19,value-90-20,value-90-21,value-90-22,value-90-23,value-90-24,value-90-25,value-90-26,value-90-27,value-90-28,value-90-29,value-90-30,value-90-31,value-90-32,value-90-33,value-90-34,value-90-35,value-90-36,value-90-37,value-90-38,value-90-39,value-90-40,value-90-41,value-90-42,value-90-43,value-90-44,value-90-45,value-90-46,value-90-47,value-90-48,value-90-49,value-90-50,value-90-51
Cash at bank,100091,NZD,2026-05-31,value-91-1,value-91-2,value-91-3,value-91-4,value-91-5,value-91-6,value-91-7,value-91-8,value-91-9,value-91-10,value-91-11,value-91-12,value-91-13,value-91-14,value-91-15,value-91-16,value-91-17,value-91-18,value-91-19,value-91-20,value-91-21,value-91-22,value-91-23,value-91-24,value-91-25,value-91-26,value-91-27,value-91-28,value-91-29,value-91-30,value-91-31,value-91-32,value-91-33,value-91-34,value-91-35,value-91-36,value-91-37,value-91-38,value-91-39,value-91-40,value-91-41,value-91-42,value-91-43,value-91-44,value-91-45,value-91-46,value-91-47,value-91-48,value-91-49,value-91-50,value-91-51
Monthly revenue,100092,NZD,2026-05-31,value-92-1,value-92-2,value-92-3,value-92-4,value-92-5,value-92-6,value-92-7,value-92-8,value-92-9,value-92-10,value-92-11,value-92-12,value-92-13,value-92-14,value-92-15,value-92-16,value-92-17,value-92-18,value-92-19,value-92-20,value-92-21,value-92-22,value-92-23,value-92-24,value-92-25,value-92-26,value-92-27,value-92-28,value-92-29,value-92-30,value-92-31,value-92-32,value-92-33,value-92-34,value-92-35,value-92-36,value-92-37,value-92-38,value-92-39,value-92-40,value-92-41,value-92-42,value-92-43,value-92-44,value-92-45,value-92-46,value-92-47,value-92-48,value-92-49,value-92-50,value-92-51
Cash at bank,100093,NZD,2026-05-31,value-93-1,value-93-2,value-93-3,value-93-4,value-93-5,value-93-6,value-93-7,value-93-8,value-93-9,value-93-10,value-93-11,value-93-12,value-93-13,value-93-14,value-93-15,value-93-16,value-93-17,value-93-18,value-93-19,value-93-20,value-93-21,value-93-22,value-93-23,value-93-24,value-93-25,value-93-26,value-93-27,value-93-28,value-93-29,value-93-30,value-93-31,value-93-32,value-93-33,value-93-34,value-93-35,value-93-36,value-93-37,value-93-38,value-93-39,value-93-40,value-93-41,value-93-42,value-93-43,value-93-44,value-93-45,value-93-46,value-93-47,value-93-48,value-93-49,value-93-50,value-93-51
Monthly revenue,100094,NZD,2026-05-31,value-94-1,value-94-2,value-94-3,value-94-4,value-94-5,value-94-6,value-94-7,value-94-8,value-94-9,value-94-10,value-94-11,value-94-12,value-94-13,value-94-14,value-94-15,value-94-16,value-94-17,value-94-18,value-94-19,value-94-20,value-94-21,value-94-22,value-94-23,value-94-24,value-94-25,value-94-26,value-94-27,value-94-28,value-94-29,value-94-30,value-94-31,value-94-32,value-94-33,value-94-34,value-94-35,value-94-36,value-94-37,value-94-38,value-94-39,value-94-40,value-94-41,value-94-42,value-94-43,value-94-44,value-94-45,value-94-46,value-94-47,value-94-48,value-94-49,value-94-50,value-94-51
Cash at bank,100095,NZD,2026-05-31,value-95-1,value-95-2,value-95-3,value-95-4,value-95-5,value-95-6,value-95-7,value-95-8,value-95-9,value-95-10,value-95-11,value-95-12,value-95-13,value-95-14,value-95-15,value-95-16,value-95-17,value-95-18,value-95-19,value-95-20,value-95-21,value-95-22,value-95-23,value-95-24,value-95-25,value-95-26,value-95-27,value-95-28,value-95-29,value-95-30,value-95-31,value-95-32,value-95-33,value-95-34,value-95-35,value-95-36,value-95-37,value-95-38,value-95-39,value-95-40,value-95-41,value-95-42,value-95-43,value-95-44,value-95-45,value-95-46,value-95-47,value-95-48,value-95-49,value-95-50,value-95-51
Monthly revenue,100096,NZD,2026-05-31,value-96-1,value-96-2,value-96-3,value-96-4,value-96-5,value-96-6,value-96-7,value-96-8,value-96-9,value-96-10,value-96-11,value-96-12,value-96-13,value-96-14,value-96-15,value-96-16,value-96-17,value-96-18,value-96-19,value-96-20,value-96-21,value-96-22,value-96-23,value-96-24,value-96-25,value-96-26,value-96-27,value-96-28,value-96-29,value-96-30,value-96-31,value-96-32,value-96-33,value-96-34,value-96-35,value-96-36,value-96-37,value-96-38,value-96-39,value-96-40,value-96-41,value-96-42,value-96-43,value-96-44,value-96-45,value-96-46,value-96-47,value-96-48,value-96-49,value-96-50,value-96-51
Cash at bank,100097,NZD,2026-05-31,value-97-1,value-97-2,value-97-3,value-97-4,value-97-5,value-97-6,value-97-7,value-97-8,value-97-9,value-97-10,value-97-11,value-97-12,value-97-13,value-97-14,value-97-15,value-97-16,value-97-17,value-97-18,value-97-19,value-97-20,value-97-21,value-97-22,value-97-23,value-97-24,value-97-25,value-97-26,value-97-27,value-97-28,value-97-29,value-97-30,value-97-31,value-97-32,value-97-33,value-97-34,value-97-35,value-97-36,value-97-37,value-97-38,value-97-39,value-97-40,value-97-41,value-97-42,value-97-43,value-97-44,value-97-45,value-97-46,value-97-47,value-97-48,value-97-49,value-97-50,value-97-51
Monthly revenue,100098,NZD,2026-05-31,value-98-1,value-98-2,value-98-3,value-98-4,value-98-5,value-98-6,value-98-7,value-98-8,value-98-9,value-98-10,value-98-11,value-98-12,value-98-13,value-98-14,value-98-15,value-98-16,value-98-17,value-98-18,value-98-19,value-98-20,value-98-21,value-98-22,value-98-23,value-98-24,value-98-25,value-98-26,value-98-27,value-98-28,value-98-29,value-98-30,value-98-31,value-98-32,value-98-33,value-98-34,value-98-35,value-98-36,value-98-37,value-98-38,value-98-39,value-98-40,value-98-41,value-98-42,value-98-43,value-98-44,value-98-45,value-98-46,value-98-47,value-98-48,value-98-49,value-98-50,value-98-51
Cash at bank,100099,NZD,2026-05-31,value-99-1,value-99-2,value-99-3,value-99-4,value-99-5,value-99-6,value-99-7,value-99-8,value-99-9,value-99-10,value-99-11,value-99-12,value-99-13,value-99-14,value-99-15,value-99-16,value-99-17,value-99-18,value-99-19,value-99-20,value-99-21,value-99-22,value-99-23,value-99-24,value-99-25,value-99-26,value-99-27,value-99-28,value-99-29,value-99-30,value-99-31,value-99-32,value-99-33,value-99-34,value-99-35,value-99-36,value-99-37,value-99-38,value-99-39,value-99-40,value-99-41,value-99-42,value-99-43,value-99-44,value-99-45,value-99-46,value-99-47,value-99-48,value-99-49,value-99-50,value-99-51
Monthly revenue,100100,NZD,2026-05-31,value-100-1,value-100-2,value-100-3,value-100-4,value-100-5,value-100-6,value-100-7,value-100-8,value-100-9,value-100-10,value-100-11,value-100-12,value-100-13,value-100-14,value-100-15,value-100-16,value-100-17,value-100-18,value-100-19,value-100-20,value-100-21,value-100-22,value-100-23,value-100-24,value-100-25,value-100-26,value-100-27,value-100-28,value-100-29,value-100-30,value-100-31,value-100-32,value-100-33,value-100-34,value-100-35,value-100-36,value-100-37,value-100-38,value-100-39,value-100-40,value-100-41,value-100-42,value-100-43,value-100-44,value-100-45,value-100-46,value-100-47,value-100-48,value-100-49,value-100-50,value-100-51
Cash at bank,100101,NZD,2026-05-31,value-101-1,value-101-2,value-101-3,value-101-4,value-101-5,value-101-6,value-101-7,value-101-8,value-101-9,value-101-10,value-101-11,value-101-12,value-101-13,value-101-14,value-101-15,value-101-16,value-101-17,value-101-18,value-101-19,value-101-20,value-101-21,value-101-22,value-101-23,value-101-24,value-101-25,value-101-26,value-101-27,value-101-28,value-101-29,value-101-30,value-101-31,value-101-32,value-101-33,value-101-34,value-101-35,value-101-36,value-101-37,value-101-38,value-101-39,value-101-40,value-101-41,value-101-42,value-101-43,value-101-44,value-101-45,value-101-46,value-101-47,value-101-48,value-101-49,value-101-50,value-101-51
Monthly revenue,100102,NZD,2026-05-31,value-102-1,value-102-2,value-102-3,value-102-4,value-102-5,value-102-6,value-102-7,value-102-8,value-102-9,value-102-10,value-102-11,value-102-12,value-102-13,value-102-14,value-102-15,value-102-16,value-102-17,value-102-18,value-102-19,value-102-20,value-102-21,value-102-22,value-102-23,value-102-24,value-102-25,value-102-26,value-102-27,value-102-28,value-102-29,value-102-30,value-102-31,value-102-32,value-102-33,value-102-34,value-102-35,value-102-36,value-102-37,value-102-38,value-102-39,value-102-40,value-102-41,value-102-42,value-102-43,value-102-44,value-102-45,value-102-46,value-102-47,value-102-48,value-102-49,value-102-50,value-102-51
Cash at bank,100103,NZD,2026-05-31,value-103-1,value-103-2,value-103-3,value-103-4,value-103-5,value-103-6,value-103-7,value-103-8,value-103-9,value-103-10,value-103-11,value-103-12,value-103-13,value-103-14,value-103-15,value-103-16,value-103-17,value-103-18,value-103-19,value-103-20,value-103-21,value-103-22,value-103-23,value-103-24,value-103-25,value-103-26,value-103-27,value-103-28,value-103-29,value-103-30,value-103-31,value-103-32,value-103-33,value-103-34,value-103-35,value-103-36,value-103-37,value-103-38,value-103-39,value-103-40,value-103-41,value-103-42,value-103-43,value-103-44,value-103-45,value-103-46,value-103-47,value-103-48,value-103-49,value-103-50,value-103-51
Monthly revenue,100104,NZD,2026-05-31,value-104-1,value-104-2,value-104-3,value-104-4,value-104-5,value-104-6,value-104-7,value-104-8,value-104-9,value-104-10,value-104-11,value-104-12,value-104-13,value-104-14,value-104-15,value-104-16,value-104-17,value-104-18,value-104-19,value-104-20,value-104-21,value-104-22,value-104-23,value-104-24,value-104-25,value-104-26,value-104-27,value-104-28,value-104-29,value-104-30,value-104-31,value-104-32,value-104-33,value-104-34,value-104-35,value-104-36,value-104-37,value-104-38,value-104-39,value-104-40,value-104-41,value-104-42,value-104-43,value-104-44,value-104-45,value-104-46,value-104-47,value-104-48,value-104-49,value-104-50,value-104-51
Cash at bank,100105,NZD,2026-05-31,value-105-1,value-105-2,value-105-3,value-105-4,value-105-5,value-105-6,value-105-7,value-105-8,value-105-9,value-105-10,value-105-11,value-105-12,value-105-13,value-105-14,value-105-15,value-105-16,value-105-17,value-105-18,value-105-19,value-105-20,value-105-21,value-105-22,value-105-23,value-105-24,value-105-25,value-105-26,value-105-27,value-105-28,value-105-29,value-105-30,value-105-31,value-105-32,value-105-33,value-105-34,value-105-35,value-105-36,value-105-37,value-105-38,value-105-39,value-105-40,value-105-41,value-105-42,value-105-43,value-105-44,value-105-45,value-105-46,value-105-47,value-105-48,value-105-49,value-105-50,value-105-51
Monthly revenue,100106,NZD,2026-05-31,value-106-1,value-106-2,value-106-3,value-106-4,value-106-5,value-106-6,value-106-7,value-106-8,value-106-9,value-106-10,value-106-11,value-106-12,value-106-13,value-106-14,value-106-15,value-106-16,value-106-17,value-106-18,value-106-19,value-106-20,value-106-21,value-106-22,value-106-23,value-106-24,value-106-25,value-106-26,value-106-27,value-106-28,value-106-29,value-106-30,value-106-31,value-106-32,value-106-33,value-106-34,value-106-35,value-106-36,value-106-37,value-106-38,value-106-39,value-106-40,value-106-41,value-106-42,value-106-43,value-106-44,value-106-45,value-106-46,value-106-47,value-106-48,value-106-49,value-106-50,value-106-51
Cash at bank,100107,NZD,2026-05-31,value-107-1,value-107-2,value-107-3,value-107-4,value-107-5,value-107-6,value-107-7,value-107-8,value-107-9,value-107-10,value-107-11,value-107-12,value-107-13,value-107-14,value-107-15,value-107-16,value-107-17,value-107-18,value-107-19,value-107-20,value-107-21,value-107-22,value-107-23,value-107-24,value-107-25,value-107-26,value-107-27,value-107-28,value-107-29,value-107-30,value-107-31,value-107-32,value-107-33,value-107-34,value-107-35,value-107-36,value-107-37,value-107-38,value-107-39,value-107-40,value-107-41,value-107-42,value-107-43,value-107-44,value-107-45,value-107-46,value-107-47,value-107-48,value-107-49,value-107-50,value-107-51
Monthly revenue,100108,NZD,2026-05-31,value-108-1,value-108-2,value-108-3,value-108-4,value-108-5,value-108-6,value-108-7,value-108-8,value-108-9,value-108-10,value-108-11,value-108-12,value-108-13,value-108-14,value-108-15,value-108-16,value-108-17,value-108-18,value-108-19,value-108-20,value-108-21,value-108-22,value-108-23,value-108-24,value-108-25,value-108-26,value-108-27,value-108-28,value-108-29,value-108-30,value-108-31,value-108-32,value-108-33,value-108-34,value-108-35,value-108-36,value-108-37,value-108-38,value-108-39,value-108-40,value-108-41,value-108-42,value-108-43,value-108-44,value-108-45,value-108-46,value-108-47,value-108-48,value-108-49,value-108-50,value-108-51
Cash at bank,100109,NZD,2026-05-31,value-109-1,value-109-2,value-109-3,value-109-4,value-109-5,value-109-6,value-109-7,value-109-8,value-109-9,value-109-10,value-109-11,value-109-12,value-109-13,value-109-14,value-109-15,value-109-16,value-109-17,value-109-18,value-109-19,value-109-20,value-109-21,value-109-22,value-109-23,value-109-24,value-109-25,value-109-26,value-109-27,value-109-28,value-109-29,value-109-30,value-109-31,value-109-32,value-109-33,value-109-34,value-109-35,value-109-36,value-109-37,value-109-38,value-109-39,value-109-40,value-109-41,value-109-42,value-109-43,value-109-44,value-109-45,value-109-46,value-109-47,value-109-48,value-109-49,value-109-50,value-109-51
Monthly revenue,100110,NZD,2026-05-31,value-110-1,value-110-2,value-110-3,value-110-4,value-110-5,value-110-6,value-110-7,value-110-8,value-110-9,value-110-10,value-110-11,value-110-12,value-110-13,value-110-14,value-110-15,value-110-16,value-110-17,value-110-18,value-110-19,value-110-20,value-110-21,value-110-22,value-110-23,value-110-24,value-110-25,value-110-26,value-110-27,value-110-28,value-110-29,value-110-30,value-110-31,value-110-32,value-110-33,value-110-34,value-110-35,value-110-36,value-110-37,value-110-38,value-110-39,value-110-40,value-110-41,value-110-42,value-110-43,value-110-44,value-110-45,value-110-46,value-110-47,value-110-48,value-110-49,value-110-50,value-110-51
Cash at bank,100111,NZD,2026-05-31,value-111-1,value-111-2,value-111-3,value-111-4,value-111-5,value-111-6,value-111-7,value-111-8,value-111-9,value-111-10,value-111-11,value-111-12,value-111-13,value-111-14,value-111-15,value-111-16,value-111-17,value-111-18,value-111-19,value-111-20,value-111-21,value-111-22,value-111-23,value-111-24,value-111-25,value-111-26,value-111-27,value-111-28,value-111-29,value-111-30,value-111-31,value-111-32,value-111-33,value-111-34,value-111-35,value-111-36,value-111-37,value-111-38,value-111-39,value-111-40,value-111-41,value-111-42,value-111-43,value-111-44,value-111-45,value-111-46,value-111-47,value-111-48,value-111-49,value-111-50,value-111-51
Monthly revenue,100112,NZD,2026-05-31,value-112-1,value-112-2,value-112-3,value-112-4,value-112-5,value-112-6,value-112-7,value-112-8,value-112-9,value-112-10,value-112-11,value-112-12,value-112-13,value-112-14,value-112-15,value-112-16,value-112-17,value-112-18,value-112-19,value-112-20,value-112-21,value-112-22,value-112-23,value-112-24,value-112-25,value-112-26,value-112-27,value-112-28,value-112-29,value-112-30,value-112-31,value-112-32,value-112-33,value-112-34,value-112-35,value-112-36,value-112-37,value-112-38,value-112-39,value-112-40,value-112-41,value-112-42,value-112-43,value-112-44,value-112-45,value-112-46,value-112-47,value-112-48,value-112-49,value-112-50,value-112-51
Cash at bank,100113,NZD,2026-05-31,value-113-1,value-113-2,value-113-3,value-113-4,value-113-5,value-113-6,value-113-7,value-113-8,value-113-9,value-113-10,value-113-11,value-113-12,value-113-13,value-113-14,value-113-15,value-113-16,value-113-17,value-113-18,value-113-19,value-113-20,value-113-21,value-113-22,value-113-23,value-113-24,value-113-25,value-113-26,value-113-27,value-113-28,value-113-29,value-113-30,value-113-31,value-113-32,value-113-33,value-113-34,value-113-35,value-113-36,value-113-37,value-113-38,value-113-39,value-113-40,value-113-41,value-113-42,value-113-43,value-113-44,value-113-45,value-113-46,value-113-47,value-113-48,value-113-49,value-113-50,value-113-51
Monthly revenue,100114,NZD,2026-05-31,value-114-1,value-114-2,value-114-3,value-114-4,value-114-5,value-114-6,value-114-7,value-114-8,value-114-9,value-114-10,value-114-11,value-114-12,value-114-13,value-114-14,value-114-15,value-114-16,value-114-17,value-114-18,value-114-19,value-114-20,value-114-21,value-114-22,value-114-23,value-114-24,value-114-25,value-114-26,value-114-27,value-114-28,value-114-29,value-114-30,value-114-31,value-114-32,value-114-33,value-114-34,value-114-35,value-114-36,value-114-37,value-114-38,value-114-39,value-114-40,value-114-41,value-114-42,value-114-43,value-114-44,value-114-45,value-114-46,value-114-47,value-114-48,value-114-49,value-114-50,value-114-51
Cash at bank,100115,NZD,2026-05-31,value-115-1,value-115-2,value-115-3,value-115-4,value-115-5,value-115-6,value-115-7,value-115-8,value-115-9,value-115-10,value-115-11,value-115-12,value-115-13,value-115-14,value-115-15,value-115-16,value-115-17,value-115-18,value-115-19,value-115-20,value-115-21,value-115-22,value-115-23,value-115-24,value-115-25,value-115-26,value-115-27,value-115-28,value-115-29,value-115-30,value-115-31,value-115-32,value-115-33,value-115-34,value-115-35,value-115-36,value-115-37,value-115-38,value-115-39,value-115-40,value-115-41,value-115-42,value-115-43,value-115-44,value-115-45,value-115-46,value-115-47,value-115-48,value-115-49,value-115-50,value-115-51
Monthly revenue,100116,NZD,2026-05-31,value-116-1,value-116-2,value-116-3,value-116-4,value-116-5,value-116-6,value-116-7,value-116-8,value-116-9,value-116-10,value-116-11,value-116-12,value-116-13,value-116-14,value-116-15,value-116-16,value-116-17,value-116-18,value-116-19,value-116-20,value-116-21,value-116-22,value-116-23,value-116-24,value-116-25,value-116-26,value-116-27,value-116-28,value-116-29,value-116-30,value-116-31,value-116-32,value-116-33,value-116-34,value-116-35,value-116-36,value-116-37,value-116-38,value-116-39,value-116-40,value-116-41,value-116-42,value-116-43,value-116-44,value-116-45,value-116-46,value-116-47,value-116-48,value-116-49,value-116-50,value-116-51
Cash at bank,100117,NZD,2026-05-31,value-117-1,value-117-2,value-117-3,value-117-4,value-117-5,value-117-6,value-117-7,value-117-8,value-117-9,value-117-10,value-117-11,value-117-12,value-117-13,value-117-14,value-117-15,value-117-16,value-117-17,value-117-18,value-117-19,value-117-20,value-117-21,value-117-22,value-117-23,value-117-24,value-117-25,value-117-26,value-117-27,value-117-28,value-117-29,value-117-30,value-117-31,value-117-32,value-117-33,value-117-34,value-117-35,value-117-36,value-117-37,value-117-38,value-117-39,value-117-40,value-117-41,value-117-42,value-117-43,value-117-44,value-117-45,value-117-46,value-117-47,value-117-48,value-117-49,value-117-50,value-117-51
Monthly revenue,100118,NZD,2026-05-31,value-118-1,value-118-2,value-118-3,value-118-4,value-118-5,value-118-6,value-118-7,value-118-8,value-118-9,value-118-10,value-118-11,value-118-12,value-118-13,value-118-14,value-118-15,value-118-16,value-118-17,value-118-18,value-118-19,value-118-20,value-118-21,value-118-22,value-118-23,value-118-24,value-118-25,value-118-26,value-118-27,value-118-28,value-118-29,value-118-30,value-118-31,value-118-32,value-118-33,value-118-34,value-118-35,value-118-36,value-118-37,value-118-38,value-118-39,value-118-40,value-118-41,value-118-42,value-118-43,value-118-44,value-118-45,value-118-46,value-118-47,value-118-48,value-118-49,value-118-50,value-118-51
Cash at bank,100119,NZD,2026-05-31,value-119-1,value-119-2,value-119-3,value-119-4,value-119-5,value-119-6,value-119-7,value-119-8,value-119-9,value-119-10,value-119-11,value-119-12,value-119-13,value-119-14,value-119-15,value-119-16,value-119-17,value-119-18,value-119-19,value-119-20,value-119-21,value-119-22,value-119-23,value-119-24,value-119-25,value-119-26,value-119-27,value-119-28,value-119-29,value-119-30,value-119-31,value-119-32,value-119-33,value-119-34,value-119-35,value-119-36,value-119-37,value-119-38,value-119-39,value-119-40,value-119-41,value-119-42,value-119-43,value-119-44,value-119-45,value-119-46,value-119-47,value-119-48,value-119-49,value-119-50,value-119-51
Monthly revenue,100120,NZD,2026-05-31,value-120-1,value-120-2,value-120-3,value-120-4,value-120-5,value-120-6,value-120-7,value-120-8,value-120-9,value-120-10,value-120-11,value-120-12,value-120-13,value-120-14,value-120-15,value-120-16,value-120-17,value-120-18,value-120-19,value-120-20,value-120-21,value-120-22,value-120-23,value-120-24,value-120-25,value-120-26,value-120-27,value-120-28,value-120-29,value-120-30,value-120-31,value-120-32,value-120-33,value-120-34,value-120-35,value-120-36,value-120-37,value-120-38,value-120-39,value-120-40,value-120-41,value-120-42,value-120-43,value-120-44,value-120-45,value-120-46,value-120-47,value-120-48,value-120-49,value-120-50,value-120-51
